Date,White,Black,Result,Opening,TimeControl,Termination,NumMoves,Sentiment,GameID
,DivyaDeshmukh23,GEMdzq,1-0,,180+1,DivyaDeshmukh23 won by resignation,43,White Win,1
,zabivol_mc,DivyaDeshmukh23,1/2-1/2,,180+1,Game drawn by repetition,80,Draw,2
,Olga_Girya,DivyaDeshmukh23,0-1,,180+1,DivyaDeshmukh23 won by resignation,86,Black Win,3
,DivyaDeshmukh23,Olga_Girya,1/2-1/2,,300+1,Game drawn by agreement,96,Draw,4
,Olga_Girya,DivyaDeshmukh23,0-1,,300+1,DivyaDeshmukh23 won by resignation,58,Black Win,5
,DivyaDeshmukh23,Olga_Girya,1-0,,180+1,DivyaDeshmukh23 won by resignation,69,White Win,6
,Olga_Girya,DivyaDeshmukh23,0-1,,180+1,DivyaDeshmukh23 won on time,74,Black Win,7
,DivyaDeshmukh23,Olga_Girya,1-0,,180+1,DivyaDeshmukh23 won by resignation,119,White Win,8
,Olga_Girya,DivyaDeshmukh23,1-0,,180+1,Olga_Girya won by resignation,51,White Win,9
,DivyaDeshmukh23,AnnamariM2001,0-1,,300+1,AnnamariM2001 won on time,76,Black Win,10
,AnnamariM2001,DivyaDeshmukh23,1-0,,300+1,AnnamariM2001 won by checkmate,109,White Win,11
,DivyaDeshmukh23,AnnamariM2001,1-0,,180+1,DivyaDeshmukh23 won by resignation,71,White Win,12
,AnnamariM2001,DivyaDeshmukh23,1/2-1/2,,180+1,Game drawn by repetition,116,Draw,13
,DivyaDeshmukh23,AnnamariM2001,1/2-1/2,,180+1,Game drawn by repetition,86,Draw,14
,AnnamariM2001,DivyaDeshmukh23,1-0,,180+1,AnnamariM2001 won on time,173,White Win,15
,BaDi50,DivyaDeshmukh23,0-1,,180+1,DivyaDeshmukh23 won by resignation,110,Black Win,16
,Cayse,DivyaDeshmukh23,1-0,,180+1,Cayse won by resignation,37,White Win,17
,DivyaDeshmukh23,Casper,1-0,,180+1,DivyaDeshmukh23 won by resignation,75,White Win,18
,Lukianoo,DivyaDeshmukh23,1-0,,180+1,Lukianoo won by resignation,95,White Win,19
,DivyaDeshmukh23,Quattroporte300,1-0,,180+1,DivyaDeshmukh23 won by resignation,111,White Win,20
,DivyaDeshmukh23,Eduard_Limonov,0-1,,180+1,Eduard_Limonov won on time,64,Black Win,21
,the_drake,DivyaDeshmukh23,0-1,,180+1,DivyaDeshmukh23 won by resignation,58,Black Win,22
,DivyaDeshmukh23,Grammnik,1-0,,180+1,DivyaDeshmukh23 won on time,53,White Win,23
,vovachesss,DivyaDeshmukh23,1-0,,180+1,vovachesss won by resignation,57,White Win,24
,DivyaDeshmukh23,Oleg_Papayan,1-0,,180+1,DivyaDeshmukh23 won by checkmate,87,White Win,25
,DivyaDeshmukh23,olksuna,0-1,,180+1,olksuna won by resignation,84,Black Win,26
,GMAkobianSTL,DivyaDeshmukh23,1-0,,180,GMAkobianSTL won by checkmate,77,White Win,27
,FabianoCaruana,DivyaDeshmukh23,1-0,,180,FabianoCaruana won by resignation,93,White Win,28
,h4parah5,DivyaDeshmukh23,0-1,,180,DivyaDeshmukh23 won by resignation,114,Black Win,29
,DivyaDeshmukh23,karinachess1,1/2-1/2,,180,Game drawn by repetition,71,Draw,30
,DivyaDeshmukh23,hellokostya,0-1,,180,hellokostya won by resignation,66,Black Win,31
,DivyaDeshmukh23,Oleksandr_Bortnyk,0-1,,180,Oleksandr_Bortnyk won by resignation,90,Black Win,32
,DivyaDeshmukh23,GMAkobianSTL,1-0,,180,DivyaDeshmukh23 won by resignation,115,White Win,33
,DivyaDeshmukh23,FabianoCaruana,0-1,,180,FabianoCaruana won by resignation,66,Black Win,34
,HVillagra,DivyaDeshmukh23,0-1,,180,DivyaDeshmukh23 won by resignation,110,Black Win,35
,A-Fier,DivyaDeshmukh23,0-1,,180,DivyaDeshmukh23 won by resignation,102,Black Win,36
,DivyaDeshmukh23,artooon,0-1,,180,artooon won by checkmate,78,Black Win,37
,DivyaDeshmukh23,cande_francisco,0-1,,180,cande_francisco won by checkmate,90,Black Win,38
,DivyaDeshmukh23,secretsuperstar7,1-0,,180,DivyaDeshmukh23 won on time,89,White Win,39
,GMAkobianSTL,DivyaDeshmukh23,1/2-1/2,,180,Game drawn by repetition,125,Draw,40
,joppie2,DivyaDeshmukh23,1-0,,180,joppie2 won by checkmate,141,White Win,41
,Lempire123,DivyaDeshmukh23,1-0,,180,Lempire123 won on time,119,White Win,42
,DivyaDeshmukh23,Roachelley,0-1,,180,Roachelley won by resignation,66,Black Win,43
